Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201404,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10216,False,8445.0
201607,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10214,False,8446.0
201403,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,10212,True,8447.0
200805,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10211,False,8448.0
201710,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10208,False,8449.0
200705,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,International,G,10199,False,8450.0
200603,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10196,False,8451.0
200911,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,10195,True,8452.0
201508,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10194,False,8455.0
201104,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,10194,False,8455.0
201410,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10194,False,8455.0
201011,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,10194,True,8455.0
201206,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10194,False,8455.0
201307,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,10189,False,8458.0
201705,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10184,False,8459.5
201301,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,10184,False,8459.5
200911,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,10183,False,8461.0
201410,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10181,False,8462.5
200611,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,10181,False,8462.5
201702,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10180,False,8464.0
201601,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10179,False,8465.0
200906,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10177,False,8466.5
201710,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,10177,False,8466.5
201403,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10176,True,8468.5
200702,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10176,False,8468.5
200909,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10174,False,8470.0
201012,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,10173,True,8471.5
200910,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,10173,False,8471.5
201506,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10172,False,8473.0
201005,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10170,False,8474.0
201001,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Enplaned,Other,International,G,10168,False,8475.0
201212,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,10165,False,8476.5
201410,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10165,False,8476.5
201606,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,10164,False,8478.5
201207,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,10164,True,8478.5
201710,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10163,False,8480.5
201008,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Other,International,G,10163,False,8480.5
201703,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10161,False,8482.0
201501,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10158,False,8483.0
201503,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,10156,False,8484.0
200903,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10153,False,8485.0
201002,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10152,False,8486.0
200709,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,10150,False,8487.0
201803,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,10149,False,8488.0
201212,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,10148,False,8489.0
201310,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,10147,False,8490.0
201306,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,10146,True,8491.0
201706,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,10144,False,8492.0
201311,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10142,False,8493.0
201011,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10141,False,8494.0
200807,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10139,False,8495.0
201301,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10132,False,8496.0
